Code,File Code,Barcode,Storage,Legal entity,Team,Team type,City,Description,Last return day,Location,Status,Create date,Updated at
000000000080,SHA0000211083,SH1813012,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC Export Sales 2017-01~01-1/1 ,,,IN,,2018/6/26 16:59
000000000081,SHA0000211084,SH1813012,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC Export Sales 2017-02~02-1/1 ,,,IN,,2018/6/26 16:59
000000000082,SHA0000211085,SH1813012,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC Export Sales 2017-03~03-1/1 ,,,IN,,2018/6/26 16:59
000000000083,SHA0000211086,SH1813012,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC Export Sales 2017-04~04-1/1 ,,,IN,,2018/6/26 16:59
000000000084,SHA0000211087,SH1813012,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC Export Sales 2017-05~05-1/1 ,,,IN,,2018/6/26 16:59
000000000085,SHA0000211088,SH1813012,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC Export Sales 2017-06~06-1/1 ,,,IN,,2018/6/26 16:59
000000000086,SHA0000211089,SH1813012,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC Export Sales 2017-07~07-1/1 ,,,IN,,2018/6/26 16:59
000000000087,SHA0000211090,SH1813012,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC Export Sales 2017-08~08-1/1 ,,,IN,,2018/6/26 16:59
000000000088,SHA0000211091,SH1813012,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC Export Sales 2017-09~09-1/1 ,,,IN,,2018/6/26 16:59
000000001871,SHA0000211092,SH1813012,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC Export Sales 2017-10~12-1/1 ,,,IN,,2018/7/3 16:46
000000003865,SHA0000211093,SH1813012,A002002,90474-CDC,Accounting-Trade,CDC,SH,CDC Reimbursement 2017-1~12-1/1 ,,,IN,,2018/7/4 10:18
000000000089,SHA0000211094,SH1813013,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-01~01-1/12 ,,,IN,,2018/6/26 16:59
000000000090,SHA0000211095,SH1813013,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-01~01-2/12 ,,,IN,,2018/6/26 16:59
000000000091,SHA0000211096,SH1813013,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-01~01-3/12 ,,,IN,,2018/6/26 16:59
000000000092,SHA0000211097,SH1813013,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-01~01-4/12 ,,,IN,,2018/6/26 16:59
000000000093,SHA0000211098,SH1813013,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-01~01-5/12 ,,,IN,,2018/6/26 16:59
000000000094,SHA0000211099,SH1813013,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-01~01-6/12 ,,,IN,,2018/6/26 16:59
000000000095,SHA0000211100,SH1813014,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-01~01-7/12 ,,,IN,,2018/6/26 16:59
000000000096,SHA0000211101,SH1813014,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-01~01-8/12 ,,,IN,,2018/6/26 16:59
000000000097,SHA0000211102,SH1813014,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-01~01-9/12 ,,,IN,,2018/6/26 16:59
000000000098,SHA0000211103,SH1813014,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-01~01-10/12 ,,,IN,,2018/6/26 16:59
000000000099,SHA0000211104,SH1813014,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-01~01-11/12 ,,,IN,,2018/6/26 16:59
000000000100,SHA0000211105,SH1813014,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-01~01-12/12 ,,,IN,,2018/6/26 16:59
000000000101,SHA0000211106,SH1813015,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-02~02-1/9 ,,,IN,,2018/6/26 16:59
