Id,Code,Storage,Legal entity,Team,Team type,City,Description,Last return day,Status
4374,135,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-05~05-3/9 ,,IN
4375,136,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-05~05-4/9 ,,IN
4376,137,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-05~05-5/9 ,,IN
4377,138,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-05~05-6/9 ,,IN
4378,139,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-05~05-7/9 ,,IN
4379,140,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-05~05-8/9 ,,IN
4380,141,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-05~05-9/9 ,,IN
4381,142,A003004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-06~06-1/11 ,,IN
4382,143,A003004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-06~06-2/11 ,,IN
4383,144,A003004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-06~06-3/11 ,,IN
4384,145,A003004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-06~06-4/11 ,,IN
4385,146,A003004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-06~06-5/11 ,,IN
4386,147,A003004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-06~06-6/11 ,,IN
4387,148,A003004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-06~06-7/11 ,,IN
4388,149,A003004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-06~06-8/11 ,,IN
4389,150,A003004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-06~06-9/11 ,,IN
4390,151,A003004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-06~06-10/11 ,,IN
4391,152,A003004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-06~06-11/11 ,,IN
4392,153,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-01~01-1/5 ,,IN
4393,154,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-01~01-2/5 ,,IN
4394,155,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-01~01-3/5 ,,IN
4395,156,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-01~01-4/5 ,,IN
4396,157,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-01~01-5/5 ,,IN
4397,158,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-02~02-1/4 ,,IN
4398,159,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-02~02-2/4 ,,IN
4399,160,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-02~02-3/4 ,,IN
4400,161,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-02~02-4/4 ,,IN
4401,162,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-03~03-1/7 ,,IN
4402,163,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-03~03-2/7 ,,IN
4403,164,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-03~03-3/7 ,,IN
4404,165,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-03~03-4/7 ,,IN
4405,166,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-03~03-5/7 ,,IN
4406,167,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-03~03-6/7 ,,IN
4407,168,A005002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-03~03-7/7 ,,IN
4408,169,A005002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-04~04-1/8 ,,IN
4409,170,A005002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-04~04-2/8 ,,IN
4410,171,A005002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-04~04-3/8 ,,IN
4411,172,A005002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-04~04-4/8 ,,IN
4412,173,A005002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-04~04-5/8 ,,IN
4413,174,A005002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-04~04-6/8 ,,IN
4414,175,A005002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-04~04-7/8 ,,IN
4415,176,A005002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-04~04-8/8 ,,IN
4416,177,A005002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-05~05-1/10 ,,IN
4417,178,A005002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-05~05-2/10 ,,IN
4418,179,A005002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-05~05-3/10 ,,IN
4419,180,A005002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-05~05-4/10 ,,IN
4420,181,A005002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-05~05-5/10 ,,IN
4421,182,A005002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-05~05-6/10 ,,IN
4422,183,A005003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-05~05-7/10 ,,IN
4423,184,A005003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-05~05-8/10 ,,IN
4424,185,A005003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-05~05-9/10 ,,IN
4425,186,A005003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-05~05-10/10 ,,IN
4426,187,A005003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-06~06-1/12 ,,IN
4427,188,A005003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-06~06-2/12 ,,IN
4428,189,A005003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-06~06-3/12 ,,IN
4429,190,A005003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-06~06-4/12 ,,IN
4430,191,A005003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-06~06-5/12 ,,IN
4431,192,A005003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-06~06-6/12 ,,IN
4432,193,A005003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-06~06-7/12 ,,IN
4433,194,A005003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-06~06-8/12 ,,IN
4434,195,A005003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-06~06-9/12 ,,IN
4435,196,A005003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-06~06-10/12 ,,IN
4436,197,A005003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-06~06-11/12 ,,IN
4437,198,A005003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-06~06-12/12 ,,IN
4438,199,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-07~07-1/8 ,,IN
4439,200,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-07~07-2/8 ,,IN
4440,201,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-07~07-3/8 ,,IN
4441,202,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-07~07-4/8 ,,IN
4442,203,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-07~07-5/8 ,,IN
4443,204,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-07~07-6/8 ,,IN
4444,205,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-07~07-7/8 ,,IN
4445,206,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-07~07-8/8 ,,IN
4446,207,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-08~08-1/8 ,,IN
4447,208,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-08~08-2/8 ,,IN
4448,209,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-08~08-3/8 ,,IN
4449,210,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-08~08-4/8 ,,IN
4450,211,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-08~08-5/8 ,,IN
4451,212,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-08~08-6/8 ,,IN
4452,213,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-08~08-7/8 ,,IN
4453,214,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-08~08-8/8 ,,IN
4454,215,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-09~09-1/8 ,,IN
4455,216,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-09~09-2/8 ,,IN
4456,217,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-09~09-3/8 ,,IN
4457,218,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-09~09-4/8 ,,IN
4458,219,A005004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-09~09-5/8 ,,IN
4459,220,A005005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-09~09-6/8 ,,IN
4460,221,A005005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-09~09-7/8 ,,IN
4461,222,A005005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-09~09-8/8 ,,IN
4462,223,B001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-01~01-1/8 ,,IN
4463,224,B001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-01~01-2/8 ,,IN
4464,225,B001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-01~01-3/8 ,,IN
4465,226,B001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-01~01-4/8 ,,IN
4466,227,B001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-01~01-5/8 ,,IN
4467,228,B001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-01~01-6/8 ,,IN
4468,229,B001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-01~01-7/8 ,,IN
4469,230,B001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ AP 2017-01~01-8/8 ,,IN
