Id,Code,Storage,Legal entity,Team,Team type,City,Description,Last return time,Status,,,
,000000001674,G006002,NONE,Tax,TAX,SH,TAX TAX 2018-01~12-1/1 Ninbo SZITIC,,,,,
,000000001675,G006002,NONE,Tax,TAX,SH,TAX TAX 2018-01~12-1/1 Ninbo Romon Mall,,,,,
,000000001676,G006002,NONE,Tax,TAX,SH,TAX TAX 2018-01~12-1/1 Nantong CenturyPlaza,,,,,
,000000001677,G006002,NONE,Tax,TAX,SH,TAX TAX 2018-01~12-1/1 Nanning JiangnanWanda Mix City QingxiuWanda,,,,,
,000000001905,K001001,90344-OYSHO SH,Accounting-GL,FA,SH,FA Fixed assets fapiaos 2015~2018-01~12-1/5 81-奥依修商贸(上海)有限公司,,,,,
,000000001906,K001001,90344-OYSHO SH,Accounting-GL,FA,SH,FA Fixed assets fapiaos 2015~2018-01~12-2/5 81-奥依修商贸(上海)有限公司,,,,,
,000000001907,K001001,90344-OYSHO SH,Accounting-GL,FA,SH,FA Fixed assets fapiaos 2015~2018-01~12-3/5 81-奥依修商贸(上海)有限公司,,,,,
,000000001908,K001001,90344-OYSHO SH,Accounting-GL,FA,SH,FA Fixed assets fapiaos 2015~2018-01~12-4/5 81-奥依修商贸(上海)有限公司,,,,,
,000000001909,K001001,90344-OYSHO SH,Accounting-GL,FA,SH,FA Fixed assets fapiaos 2015~2018-01~12-5/5 81-奥依修商贸(上海)有限公司,,,,,
,000000001910,K001001,90344-OYSHO SH,Accounting-GL,FA,SH,FA Fixed assets fapiaos 2015~2017-01~12-1/1 4831-奥依修商贸(上海)有限公司哈尔滨中兴大道分公司(哈尔滨Wanda-women),,,,,
,000000001911,K001001,90344-OYSHO SH,Accounting-GL,FA,SH,FA Fixed assets fapiaos 2015~2017-01~12-1/1 4945-奥依修商贸(上海)有限公司西安西大街分公司(西安Mid ring),,,,,
,000000001912,K001001,90344-OYSHO SH,Accounting-GL,FA,SH,FA Fixed assets fapiaos 2015~2017-01~12-1/1 4950-奥依修商贸(上海)有限公司杭州五常大道分公司(杭州XixiInCity),,,,,
,000000001913,K001001,90344-OYSHO SH,Accounting-GL,FA,SH,FA Fixed assets fapiaos 2015~2017-01~12-1/1 4951-奥依修商贸(上海)有限公司北京欣宁街分公司(北京InterIkea),,,,,
,000000001914,K001001,90344-OYSHO SH,Accounting-GL,FA,SH,FA Fixed assets fapiaos 2015~2017-01~12-1/1 4952-奥依修商贸(上海)有限公司深圳龙翔大道分公司,,,,,
,000000001915,K001001,90344-OYSHO SH,Accounting-GL,FA,SH,FA Fixed assets fapiaos 2015~2017-01~12-1/1 4953-奥依修商贸（上海）有限公司重庆正街分公司(重庆China Resources),,,,,
,000000001916,K001001,90344-OYSHO SH,Accounting-GL,FA,SH,FA Fixed assets fapiaos 2015~2017-01~12-1/1 4954-奥依修商贸(上海)有限公司无锡团结中路分公司(无锡InterIKEA),,,,,
,000000001917,K001002,90344-OYSHO SH,Accounting-GL,FA,SH,FA Fixed assets fapiaos 2015~2017-01~12-1/1 4957-奥依修商贸(上海)有限公司佛山桂澜南路分公司(佛山Perennial),,,,,
,000000001918,K001002,90344-OYSHO SH,Accounting-GL,FA,SH,FA Fixed assets fapiaos 2015~2017-01~12-1/1 4958-奥依修商贸(上海)有限公司深圳建安一路分公司,,,,,
,000000001919,K001002,90344-OYSHO SH,Accounting-GL,FA,SH,FA Fixed assets fapiaos 2015~2017-01~12-1/1 4962-奥依修商贸(上海)有限公司宁波市鄞州钱湖北路分公司(宁波SZITIC),,,,,
,000000001920,K001002,90344-OYSHO SH,Accounting-GL,FA,SH,FA Fixed assets fapiaos 2015~2017-01~12-1/1 6258-奥依修商贸(上海)有限公司昆明广福路分公司(昆明Aegean Sea),,,,,
,000000001921,K001002,90344-OYSHO SH,Accounting-GL,FA,SH,FA Fixed assets fapiaos 2015~2017-01~12-1/1 6579-奥依修商贸（上海）有限公司宁波天童南路分公司,,,,,
,000000001922,K001002,90344-OYSHO SH,Accounting-GL,FA,SH,FA Fixed assets fapiaos 2015~2017-01~12-1/1 6694-奥依修商贸(上海)有限公司南宁民族大道分公司(广西Oriental Hangyang),,,,,
,000000001923,K001002,90344-OYSHO SH,Accounting-GL,FA,SH,FA Fixed assets fapiaos 2015~2017-01~12-1/1 6897-奥依修商贸(上海)有限公司福州坂中路分公司(福州Zhongwei),,,,,
,000000001924,K001002,90344-OYSHO SH,Accounting-GL,FA,SH,FA Fixed assets fapiaos 2015~2017-01~12-1/1 7122-奥依修商贸(上海)有限公司惠州文昌一路分公司(Huamao),,,,,
,000000001925,K001002,90344-OYSHO SH,Accounting-GL,FA,SH,FA Fixed assets fapiaos 2015~2017-01~12-1/1 7126-奥依修商贸(上海)有限公司天津大丰路分公司(AquaCity),,,,,
,000000001926,K001002,90344-OYSHO SH,Accounting-GL,FA,SH,FA Fixed assets fapiaos 2015~2017-01~12-1/1 7127-奥依修商贸(上海)有限公司北京朝阳公园路分公司(Solana),,,,,
,000000001927,K001002,90344-OYSHO SH,Accounting-GL,FA,SH,FA Fixed assets fapiaos 2015~2017-01~12-1/1 7128-奥依修商贸(上海)有限公司广州正佳广场分公司(Grandview),,,,,
,000000001928,K001002,90344-OYSHO SH,Accounting-GL,FA,SH,FA Fixed assets fapiaos 2015~2017-01~12-1/1 7130-奥依修商贸(上海)有限公司南通桃园路分公司(CenturyPlaza),,,,,
,000000001929,K001003,90344-OYSHO SH,Accounting-GL,FA,SH,FA Fixed assets fapiaos 2015~2017-01~12-1/1 7138-奥依修商贸(上海)有限公司廊坊新华路分公司(Wanda),,,,,
,000000001930,K001003,90344-OYSHO SH,Accounting-GL,FA,SH,FA Fixed assets fapiaos 2015~2017-01~12-1/1 7139-奥依修商贸(上海)有限公司石家庄建华南大街分公司(Wanda),,,,,
